id,created_at,retweet_count,text
1023827521832345600,2018-07-30 07:07:57,6,"Now anyone can video, thanks to Prof Vineet Gandhi's groundbreaking work on using artificial intelligence in cinematography.
https://t.co/qQw5S6jErH"
1023806400789528576,2018-07-30 05:44:02,0,"240 registrations and counting. Have you registered yet? Please do asap at https://t.co/FkLlDorhFI  As space is limited, you need to pay the registration fee to book your spot. No walk ins will be allowed,registration and pre payment is a must to attend the event.
#iiith https://t.co/6uXZfihMrX"
1022351213243723778,2018-07-26 05:21:38,5,Enterprising startups by IIIT-H students https://t.co/5QCnw9WpP2
1021990037376909318,2018-07-25 05:26:27,6,"To celebrate 20 years of #IIITH, Prof PJN, Prof. Jayanthi and Prof. Vishal will be traveling to Seattle to connect with alumni.
Join us for a fun-filled afternoon! Register at https://t.co/hUMDPLAPet https://t.co/7yHKtX3miP"
1021687516770922496,2018-07-24 09:24:20,3,"IIITH's 20th-year celebrations in the Bay Area!
Here’s your chance to connect with fellow IIIT alumni in the Bay area and also meet Prof. PJN, Prof. Jayanthi, Prof. Vishal. This lunch and networking event is open to the whole family. Register at https://t.co/BSlZYAxKKA https://t.co/yD4dtxW1ul"
1021629494287712256,2018-07-24 05:33:47,2,"12 DAYS TO GO! Have you reserved your spot yet? Register at https://t.co/En2mYkG5co
#iiith #alumnimeet #Bangalore https://t.co/gQaEpmGjLG"
1019890461081788421,2018-07-19 10:23:29,5,"Meet and greet your favorite faculty members and catch up with old friends @ IIIT-H Bangalore Alumni Meet!! Registration is mandatory. Please register at https://t.co/En2mYkoukQ 
August 5 (Sunday) 11:00 am - 3:30 pm 
MS RESEARCH LAB INDIA PVT, 9 Lavelle Road, Bangalore https://t.co/mGHDQmWS6w"
1019498671207903232,2018-07-18 08:26:39,3,"This senior research fellow from the Lab of Spatial Informatics at IIITH has been winning accolades and creating waves at every international conference and workshop she’s attended this year. Meet 26-year-old Salghuna Nair from Trichy, Tamil Nadu. https://t.co/1xnWFLRYNN https://t.co/YRfp7rCdWh"
1018734548677320705,2018-07-16 05:50:18,5,"Prof @aniketalam from Centre of Exact Humanities, IIIT-Hyderabad is researching the continuity and change in Spiti Valley over the past millennia. Read on to find out how he's going about it.
https://t.co/w0KlAPI64l https://t.co/CJ5tvhgXXz"
1017753950068486144,2018-07-13 12:53:45,3,#iiith #alumnimeet #bangalore Please register at https://t.co/En2mYkG5co https://t.co/y3rwd6SI2j
