id,created_at,retweet_count,text
1006776016407289857,2018-06-13 05:51:21,89,"A quantum ""leaf"" for artificial photosynthesis -- capturing &amp; converting carbon dioxide to fuel and oxygen -- has been developed by IISc researchers using biocompatible and inexpensive materials https://t.co/0JqPYyCmiR https://t.co/OMyrso8OvX https://t.co/D1A1g5p7in"
1006454563614818304,2018-06-12 08:34:01,24,RT @indianscinews: Researchers from Indian Institute of Science recreating precipitation trends of the cretaceous era (65 million year ago)…
1004595190135263232,2018-06-07 05:25:32,18,"RT @FranceinIndia: Had a fruitful exchange with Prof Anurag Kumar, Director of @iiscbangalore, a premier research institution, &amp; discussed…"
1004582791294607360,2018-06-07 04:36:16,79,"RT @PrakashJavdekar: Congrats @iiscbangalore for being ranked number two in the world in 'research impact per faculty member' category, mov…"
1004331288851955712,2018-06-06 11:56:53,25,"RT @NTUsg: In partnership with renowned Indian Institute of Science, Bangalore @iiscbangalore, #NTUsg will offer joint supervision and rese…"
1004224594499198976,2018-06-06 04:52:55,14,RT @InfosysPrize: Laureate Yamuna Krishnan @KrishnanYamuna of @UChicago will give a talk on July 2 at @iiscbangalore #InfosysPrizeLectures…
1003899954098626560,2018-06-05 07:22:55,14,How can we adapt artificial vision systems to understand natural scenes with minimal supervision? A recent IISc study to be presented at the CVPR conference proposes a novel adversarial learning approach https://t.co/yZ8yEK7uzP https://t.co/I3ZowZT8bu
1003863082987212800,2018-06-05 04:56:24,14,RT @designatiisc: CPDM students' product 'LifeBox' in ToI today https://t.co/c80tCH4u4m
1002551832000978945,2018-06-01 14:05:57,13,"RT @cambridgeindia: Congratulations to @iiscbangalore!
Proud to be the publishing partner of IISc, the only Indian Institute to feature in…"
1002075815901782018,2018-05-31 06:34:26,109,"IISc has made it to the top 100 in the Times Higher Education World Reputation Rankings 2018 -- the only Indian institution in the list.
https://t.co/xfbhTLZG2w"
1001329762881585153,2018-05-29 05:09:53,48,"Researchers at IISc have figured out an efficient way to reduce the large band gap in ferroelectric materials, which could improve their efficiency at converting sunlight to electricity. 
https://t.co/6wmlcD08im
https://t.co/Q7kKACAU44 https://t.co/ob5TwSXBJ9"
1001005821138894848,2018-05-28 07:42:40,32,RT @TheHinduScience: Nanomaterials that can behave like human enzymes have now been successfully synthesized https://t.co/4ZAmbNS812
1000955137119039488,2018-05-28 04:21:16,62,"RT @tatatrusts: Founded on this day in 1909, the Indian Institute of Science (IISc) has evolved into one of the most prestigious centres fo…"
999498526512959490,2018-05-24 03:53:13,17,"A new study examines the contribution of submarine groundwater discharge to dissolved ion concentration in the Bay of Bengal, with important implications for understanding how seawater chemistry evolves over geological timescales https://t.co/VljyhkZ3IW https://t.co/4NDHaFnqpv https://t.co/3lrxsYGiTl"
996976947941920768,2018-05-17 04:53:21,21,"The DST Centre for Policy Research calls for applications for the DST-Science, Technology, and Innovation Policy Fellowship Programme. Deadline: June 10, 2018. More details at https://t.co/PLs9LcgKNw"
995965373047455744,2018-05-14 09:53:43,17,"Mimyk, a spin-off from IISc, has developed an indigenous endoscopy simulator that combines haptics, design &amp; virtual reality, and offers an immersive and cost-effective way to train doctors in endoscopy procedures. 
https://t.co/bsYMY5oVSN https://t.co/50v4GeLzOf"
994872020394442752,2018-05-11 09:29:08,0,@kabirhbiswas The IISc website has had some recent minor technical issues. Please clear your browser cache and try the link again.
994808743467651078,2018-05-11 05:17:41,47,"Research at IISc has enabled the integration of multiple microprocessor chips comprising tiny 3D transistors called FinFETs inside a single unit. This could improve the lifetime of smart devices such as phones &amp; tablets, while reducing size and cost https://t.co/JLCSONrEBj https://t.co/hA2SNFKYdT"
994575589670502401,2018-05-10 13:51:13,41,RT @PrakashJavdekar: .@iiscbangalore is India's pride. Congratulations team #IISC for improving the ranking to 13 from 14 in @timeshighered…
994489872692887552,2018-05-10 08:10:37,39,How does the brain process colour? A new IISc study reveals that the colour red triggers strong gamma oscillations in a part of the brain involved in visual processing https://t.co/g8wI6yBY8Y https://t.co/ICoKi0fxgz https://t.co/EL2ZOQlzo2
994092033240252416,2018-05-09 05:49:44,46,"IISc researchers have developed a new ceramic material which could greatly cut down the cost of devices that use piezoelectricity, from inkjet printers to scanning tunnelling microscopes https://t.co/y474qJD15q https://t.co/9QZxAS9XxJ https://t.co/vI0F5ETfAP"
991657603133403137,2018-05-02 12:36:11,25,"A previously unknown gene mutation which is linked to an aggressive form of a deadly brain tumour has been identified by IISc researchers: 
https://t.co/KaFwSHzfDl https://t.co/Ltj8ULi01O https://t.co/zVHnXjUaRu"
991299783032688640,2018-05-01 12:54:20,42,How do organisms decide whether to group with their own or with other species? A new study from @CES_IISc provides some insights into the factors that drive this choice https://t.co/al0wxOEatV https://t.co/5zvJQBriLs
990938568334852096,2018-04-30 12:59:00,19,RT @forbes_india: #InnovationNation | IISc has also become a cradle of sorts for health care startups: https://t.co/LyCO0GFkcM | By @anshul…
990871588651200512,2018-04-30 08:32:50,27,"Faculty members Dr. Prerna Sharma (Physics) &amp; Dr. Mayank Shrivastava (DESE) have received the INSA Medal for Young Scientists 2018, for their innovative contributions to the fields of soft matter physics and power electronics respectively. https://t.co/aVaO2iYJmz https://t.co/cqdfoOUIBV"
990430744253054978,2018-04-29 03:21:05,39,"Inspired by patterns seen in the eyes of insects, IISc researchers have developed a moldable nanoscale platform for boosting the performance of organic solar cells https://t.co/8CFFjTC1aG https://t.co/CeUJmjjqME"
990108018258857985,2018-04-28 05:58:41,25,"RT @TheWireScience: A journey to the centre of the cell https://t.co/8BDFKGEbC1 

Scientists from Bangalore have designed nanomotors, which…"
988769454120058880,2018-04-24 13:19:42,21,iLIFE: next-gen 3D imaging cytometry system that can visualize a variety of biological specimens developed by IISc researchers https://t.co/74FsfwxbYm https://t.co/2qsBHzmohM
987287881533108225,2018-04-20 11:12:28,31,"In the last few years, the institute has ramped up its efforts to support science and technology startups aimed at real-world impact, through its Society for Innovation and Development (SID) 
https://t.co/p8Lwq5a13z"
986863479377215488,2018-04-19 07:06:03,21,RT @NatureInd: Scientists at @iiscbangalore produce a silicon-based platform to grow rat cardiac muscle cells -- promising for the study of…
986804855162351617,2018-04-19 03:13:06,6,"@CeNSEatIISc is leading the effort to develop I-STEM, a national online portal that will provide researchers easy access to equipment and facilities across the country https://t.co/VGiC1NemqM"
986148938209112065,2018-04-17 07:46:43,43,"PEDL, a smart cycle sharing initiative by Zoomcar, has now made available over 100 bicycles on the IISc campus, providing users an eco-friendly mode of transport https://t.co/6shxO4ysTB https://t.co/s3LtRgoCUV https://t.co/vwx6ZvPLVH"
986054150298284032,2018-04-17 01:30:04,37,RT @IEEESpectrum: Remotely controlled  machines that can be steered around the insides of cells could mean revolutionary changes for drug d…
985029344731934720,2018-04-14 05:37:51,11,"RT @CeNSEatIISc: Congratulations to Navakanta Bhat for being awarded the ""Abdul Kalam Technology Innovation National Fellowship"" @iiscbanga…"
984699056080367616,2018-04-13 07:45:24,21,"As part of the ongoing ""India on our mind"" maps exhibition @ Faculty Hall, IISc, a talk will be given by Commander Abhilash Tomy, the 1st Indian &amp; 2nd Asian to circumnavigate the globe under sails, on Monday, Apr 16 at 5 pm. https://t.co/lAAZ6CI221"
984413041088282624,2018-04-12 12:48:53,5,RT @socialniscair: RGUHS and IISc to identify potential #dengue biomarkers https://t.co/jmH3Dqoef8 via @bangaloremirror
984261192217608192,2018-04-12 02:45:29,25,"RT @TheHinduScience: Researchers from @iiscbangalore have tabulated that by 2030, if ‘business as usual’ continues, the city will see an in…"
983974564018434048,2018-04-11 07:46:32,23,RT @NCBS_Bangalore: Time again for the monthly Public Lecture Series by the #NCBS #archives. This month: The Conception and Birth of the In…
981126381512699904,2018-04-03 11:08:52,84,"IISc has been ranked once again as India's #1 institution overall, and #1 university in the latest MHRD NIRF rankings https://t.co/mqQ5DVDN1e"
980786271223083009,2018-04-02 12:37:23,26,New IISc study examines the role of genetic diversity of immune response in the spread of infections such as H1N1 flu https://t.co/PxjODXloK2
980276954493370368,2018-04-01 02:53:33,20,"RT @Connect_IISc: How IISc Found a Home in Bangalore
https://t.co/dA0FMFaPW4 https://t.co/6yitlUCDo0"
979606074012581889,2018-03-30 06:27:42,199,"RT @Neelavanam: ""Heaven on Earth""
Was driving through @iiscbangalore and spotted this beautiful Blue Petria tree and I thought this must be…"
979244727974338560,2018-03-29 06:31:51,6,RT @Connect_IISc: What does it mean to be a retired scientist continuing to pursue research? The answer to this forms the narrative in a me…
978237096996495360,2018-03-26 11:47:53,32,"Scientists from IISc and Rice University have found a way to make thin 2D sheets of gallium, called ""gallenene"", with potential applications in plasmonics, sensors &amp; electrical contacts https://t.co/kDCXEHdFLj https://t.co/m5aS5uepE9"
978098993057038336,2018-03-26 02:39:06,51,RT @TheHinduScience: A new type of magnetic nanomotors that can generate localised heating to kill #Cancer cells have been developed by res…
976744152644792321,2018-03-22 08:55:27,15,"Prof. Amaresh Chakrabarti (CPDM) has received the Outstanding Research Award in the field of Decision Sciences during 2015-17, from Careers360. Hon’ Union Minister of HRD Shri. Prakash Javadekar gave away the awards on Mar 20. https://t.co/YzkUj6mZNJ https://t.co/jyygCkmsI0"
976330552964915200,2018-03-21 05:31:57,22,The exhibition will be on display at IISc until April 18 https://t.co/8yy1Q4IgQd https://t.co/4YkXwQLEmX
976121694388498432,2018-03-20 15:42:02,20,"IISc Centenary Lecture will be delivered by Prof. Venkatesh Narayanamurti, Harvard University, in Faculty Hall on Mar 21 @ 4 pm https://t.co/c64tHLVU83"
975626575503769600,2018-03-19 06:54:36,38,"Water molecules play a key role in stabilizing insulin structure when it is stored in the body, IISc study finds. https://t.co/MBSuGfUST4  https://t.co/ztvAC3Buoi https://t.co/gUtYj8RyJd"
973159359264956416,2018-03-12 11:30:46,26,"RT @CNRS: Le CNRS signe un accord cadre de coopération avec l’ @iiscbangalore, prestigieux institut d’enseignement supérieur et de recherch…"
972379168930328576,2018-03-10 07:50:34,24,"RT @MEOpenDay: See a rocket demonstration burning fuel and oxygen, at the Compression, Gasification, and Propulsion Laboratory (CGPL). Next…"
972378043128823810,2018-03-10 07:46:06,15,RT @CeNSEatIISc: 3000 visitors till mid-day going strong sparking young minds #iiscopenday @iiscbangalore https://t.co/82kT1SC1hN
972340611222200320,2018-03-10 05:17:21,44,RT @MEOpenDay: And it has started! Chairperson of IISc Mechanical Engineering Department inaugurates department activities on IISc Open Day…
972319127921569793,2018-03-10 03:51:59,13,RT @Connect_IISc: The Institute is currently running a three-day trial using electric rickshaws as passenger vehicles on campus. The initia…
972042589997121536,2018-03-09 09:33:07,7,RT @India_Alliance: IA Fellow and cancer biologist @iiscbangalore Dr Annapoorni Rangarajan received @DBTIndia National Women Bioscientists…
969833082307035137,2018-03-03 07:13:20,76,"IISc celebrates Founder's Day on March 3, the birth anniversary of the visionary JN Tata who conceived the idea of the institute and endowed its establishment https://t.co/Me6lZM2VlB https://t.co/8lvxNtgQqV"
969081495192158208,2018-03-01 05:26:47,103,"Mark your calendars! IISc's Open Day will be held on March 10, 2018. This annual event is a chance for the public to get a glimpse of research happening at the institute, see live experiments, demos &amp; exhibitions, and interact with faculty &amp; students https://t.co/S1g8ryUw1a https://t.co/PqgbcKTrtO"
968774826335744001,2018-02-28 09:08:12,95,"Remembering Nobel Laureate Sir CV Raman, the first Indian Director of IISc, on #NationalScienceDay https://t.co/a5NYPBqgV5"
968667294644674561,2018-02-28 02:00:54,23,"Alumnus Vikas Sathaye (M. Tech. Instrumentation 1996) has received a Sci &amp; Engg award from the Academy of Motion Picture Arts &amp; Sciences, USA, for contributing to development of novel aerial camera mount used in filming several Hollywood blockbusters https://t.co/7kdSOmX0hD https://t.co/4TjLiAMoBa"
968117341836869632,2018-02-26 13:35:35,36,"Nobel Laureate Dr. Eric Maskin delivered the Golden Jubilee Memorial Lecture at IISc, spoke about how financial crises happen and possible ways to limit/prevent them. He received the 2007 Nobel Memorial Prize in Economics, with Leonid Hurwicz &amp; Roger Myerson. https://t.co/RZnYwFGEY5"
967423101490221058,2018-02-24 15:36:55,11,"International Conference on Electronics, Computing and Communication Technologies (IEEE CONECCT) organized by IISc and IEEE Bangalore Section to be held on 16-17 March 2018.

Conference website: https://t.co/94GGSgJyGC
Registration: https://t.co/bZEgOZEpU4 https://t.co/AuIUTcnyft"
